"STATUS","CONTAIN","DATE"
"ham","Sy wa ga sampe2 soalnya",2018-02-28 11:43:00
"ham","Mbak tiara sy da di cyber yaa.. di starbuck",2018-02-28 11:43:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-28 01:52:00
"ham","Trm ksh Anda sdh akses Facebook dgn IndosatOoredoo. Brdasar pngalamn Anda, sberapa puas Anda thdp kualitas akses FB kami? Balas F1 sd F5 (F5= Sgt puas). FREE",2018-02-27 15:21:00
"spam","Mau nongkrong bareng teman di tanggal tua? Ayo tekan *123*510*3# . Dapatkan DISKON & GRATIS Nelp 60 menit. Trf Rp2.200/3hr. Info: 02172784605 SPI15",2018-02-27 12:22:00
"spam","Saksikan Final Coppa Italia 2017/2018 SuperBigMatch babak Semifinal Leg ke-2, Juventus VS Atalanta hanya di GENFLIX. Tekan *123*519*4#. CS: 08041911911  SPI13",2018-02-27 12:05:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-27 01:30:00
"spam","GRATIS UNLIMITED YOUTUBE+INTERNET 10GB+CHAT&SOSMED+SMS+NELPON selama 30hari.Data Rollover.PROMO 100Rb (Normal 115rb). MAU? Tekan C25 kirim SMS ke 929 sekarang",2018-02-26 19:08:00
"spam","Selamat untuk nomer 085722688068 Kamu masuk PROMO EXTRA SMS, segera hubungi *885*77*24# utk menerima info GOSIP (sms premium) CS: 02145869935",2018-02-26 09:28:00
"spam","Uber: Anda mendapatkan potongan 50% hingga Rp 5000, untuk 10 perjalanan uberMOTOR Anda. Ayo pesan Uber-mu sekarang! http://t.uber.com/nguber",2018-02-26 05:06:00
"spam","Km baru saja akses Apps Sehari-hari terpopuler.Nikmati akses YOUTUBE ga habis habis dgn beli pkt Unlimited HANYA di *123# atau myIM3 http://im3.do/m3",2018-02-26 01:53:00
"spam","Ayo diaktifkan iRing KERENnya, NOAH-Biar Ku Sendiri (HS) Rp.0,1/3hr prpnjngan Rp.3190 hnya dgn balas YA!",2018-02-25 21:11:00
"ham","Sdh sampai bu",2018-02-24 17:46:00
